Product Name,Product Image,Card Effect,Card Name,Card Number,Card Type,Card Subtype,Class,Cost,Defense Value,Finish,Intellect,Life,Pitch Value,Power,Rarity,Set Name,Multi Faced,Card Uri
Anothos Unlimited Edition Normal // Quicken Unlimited Edition Normal,11-1-anothoswtr040.jpg // 11-2-quickenwtr225.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Quicken <br />(Aura's stay in the arena until they are destroyed.) <br />When you play an attack action card or attack with a weapon, destroy // Quicken <br />and the attack gains go again.",Anothos // Quicken,WTR040 // WTR225,Token Weapon,Aura;Hammer (2H),Generic Guardian,,,Unlimited Edition Normal,,,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-quicken?Language=English
Anothos - 1st Edition // Romping Club - 1st Edition,14-1-anothoswtr040.jpg // 14-2-romping-clubwtr003.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Romping Club <br />Once per Turn Action - [2 Resource]: Attack <br />Once per Turn Effect - When you discard a card with 6 or more [Power], // Romping Club <br />gains +1 [Power] until end of turn.",Anothos // Romping Club,WTR040 // WTR003,Weapon,Club (2H);Hammer (2H),Brute Guardian,,,1st Edition,,,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-romping-club?Language=English
Anothos - 1st Edition // Rhinar - 1st Edition,12-1-anothoswtr040.jpg // 12-2-rhinarwtr002.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Rhinar <br />When you discard a card with 6 or more [Power] during your action phase, intimidate. (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)",Anothos // Rhinar,WTR040 // WTR002,Hero Weapon,Hammer (2H);Young,Brute Guardian,,,1st Edition,4,20,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-rhinar?Language=English
Awakening Bellow (Blue) Unlimited Edition Normal,16-1-awakening-bellow-blue-wtr034.jpg,"The next Brute attack action card you play this turn gains +1 [Power]. <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Awakening Bellow (Blue),WTR034,Action,,Brute,1,3,Unlimited Edition Normal,,,3,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/awakening-bellow-blue?Language=English
"Anothos - 1st Edition // Rhinar, Reckless Rampage - 1st Edition",13-1-anothoswtr040.jpg // 13-2-rhinar-reckless-rampagewtr001.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Rhinar, Reckless Rampage <br />When you discard a card with 6 or more [Power] during your action phase, intimidate. (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)","Anothos // Rhinar, Reckless Rampage",WTR040 // WTR001,Hero Weapon,Hammer (2H),Brute Guardian,,,1st Edition,4,40,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-rhinar-reckless-rampage?Language=English
Anothos - 1st Edition // Seismic Surge - 1st Edition,15-1-anothoswtr040.jpg // 15-2-seismic-surgewtr075.jpg,"Anothos <br />Once per Turn Action - [3 Resource]: Attack <br />If you have 2 or more cards in your pitch zone with cost [3 Resource] or greater, Anathos gains +2 [Power]. // Seismic Surge <br />At the beginning of your action phase, destroy // Seismic Surge <br />then the next Guardian attack action card you play this turn costs [1 Resource] less to play.",Anothos // Seismic Surge,WTR040 // WTR075,Token Weapon,Aura;Hammer (2H),Guardian,,,1st Edition,,,,4,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/anothos-seismic-surge?Language=English
Awakening Bellow (Red) Unlimited Edition Normal,17-1-awakening-bellow-red-wtr032.jpg,"The next Brute attack action card you play this turn gains +3 [Power]. <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Awakening Bellow (Red),WTR032,Action,,Brute,1,3,Unlimited Edition Normal,,,1,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/awakening-bellow-red?Language=English
Awakening Bellow (Yellow) Unlimited Edition Normal,18-1-awakening-bellow-yellow-wtr033.jpg,"The next Brute attack action card you play this turn gains +2 [Power]. <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Awakening Bellow (Yellow),WTR033,Action,,Brute,1,3,Unlimited Edition Normal,,,2,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/awakening-bellow-yellow?Language=English
Barkbone Strapping Unlimited Edition Normal,19-1-barkbone-strappingwtr005.jpg,"Instant - Destroy Barkbone Strapping: Roll a 6 sided die. Gain [Resources] equal to half the number rolled, rounded down. <br />Battleworn (If you defend with Barkbone Strapping, put a -1 [Defense] counter on it when the combat chain closes.)",Barkbone Strapping,WTR005,Equipment,Chest,Brute,,1,Unlimited Edition Normal,,,,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barkbone-strapping?Language=English
Barraging Beatdown (Blue) Unlimited Edition Normal,20-1-barraging-beatdown-blue-wtr019.jpg,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +2 [Power]."" <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Barraging Beatdown (Blue),WTR019,Action,,Brute,0,3,Unlimited Edition Normal,,,3,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-beatdown-blue?Language=English
Barraging Beatdown (Red) Unlimited Edition Normal,21-1-barraging-beatdown-red-wtr017.jpg,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +4 [Power]."" <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Barraging Beatdown (Red),WTR017,Action,,Brute,0,3,Unlimited Edition Normal,,,1,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-beatdown-red?Language=English
Barraging Beatdown (Yellow) Unlimited Edition Normal,22-1-barraging-beatdown-yellow-wtr018.jpg,"Your next Brute attack this turn gains ""If this attack is defended by less than 2 non-equipment cards, it gains +3 [Power]."" <br />Intimidate (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.) <br />Go again",Barraging Beatdown (Yellow),WTR018,Action,,Brute,0,3,Unlimited Edition Normal,,,2,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-beatdown-yellow?Language=English
Barraging Brawnhide (Red) Unlimited Edition Normal,24-1-barraging-brawnhide-red-wtr176.jpg,"If Barraging Brawnhide is defended by less than 2 non-equipment cards, it gains +1 [Power].",Barraging Brawnhide (Red),WTR176,Action,Attack,Generic,3,2,Unlimited Edition Normal,,,1,7,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-brawnhide-red?Language=English
Barraging Brawnhide (Yellow) Unlimited Edition Normal,25-1-barraging-brawnhide-yellow-wtr177.jpg,"If Barraging Brawnhide is defended by less than 2 non-equipment cards, it gains +1 [Power].",Barraging Brawnhide (Yellow),WTR177,Action,Attack,Generic,3,2,Unlimited Edition Normal,,,2,6,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-brawnhide-yellow?Language=English
Barraging Brawnhide (Blue) Unlimited Edition Normal,23-1-barraging-brawnhide-blue-wtr178.jpg,"If Barraging Brawnhide is defended by less than 2 non-equipment cards, it gains +1 [Power].",Barraging Brawnhide (Blue),WTR178,Action,Attack,Generic,3,2,Unlimited Edition Normal,,,3,5,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/barraging-brawnhide-blue?Language=English
Biting Blade (Red) Unlimited Edition Normal,27-1-biting-blade-red-wtr135.jpg,"Target weapon attack gains +3 [Power]. <br />Reprise - If the defending hero has defended with a card from their hand this chain link, your weapons gain +1 [Power] until end of turn.",Biting Blade (Red),WTR135,Attack Reaction,,Warrior,2,3,Unlimited Edition Normal,,,1,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/biting-blade-red?Language=English
Biting Blade (Blue) Unlimited Edition Normal,26-1-biting-blade-blue-wtr137.jpg,"Target weapon attack gains +1 [Power]. <br />Reprise - If the defending hero has defended with a card from their hand this chain link, your weapons gain +1 [Power] until end of turn.",Biting Blade (Blue),WTR137,Attack Reaction,,Warrior,2,3,Unlimited Edition Normal,,,3,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/biting-blade-blue?Language=English
Blessing of Deliverance (Blue) Unlimited Edition Normal,32-1-blessing-of-deliverance-blue-wtr056.jpg,"Go again <br />When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 Resource] or greater, draw a card. <br />At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top card of your deck. Gain 1 [Life] for each card with cost [3 Resource] or greater revealed this way.",Blessing of Deliverance (Blue),WTR056,Action,Aura,Guardian,2,3,Unlimited Edition Normal,,,3,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blessing-of-deliverance-blue?Language=English
Blackout Kick (Blue) Unlimited Edition Normal,29-1-blackout-kick-blue-wtr091.jpg,"Combo - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3 [Power].",Blackout Kick (Blue),WTR091,Action,Attack,Ninja,1,3,Unlimited Edition Normal,,,3,2,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blackout-kick-blue?Language=English
Biting Blade (Yellow) Unlimited Edition Normal,28-1-biting-blade-yellow-wtr136.jpg,"Target weapon attack gains +2 [Power]. <br />Reprise - If the defending hero has defended with a card from their hand this chain link, your weapons gain +1 [Power] until end of turn.",Biting Blade (Yellow),WTR136,Attack Reaction,,Warrior,2,3,Unlimited Edition Normal,,,2,,Common,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/biting-blade-yellow?Language=English
Blackout Kick (Yellow) Unlimited Edition Normal,31-1-blackout-kick-yellow-wtr090.jpg,"Combo - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3 [Power].",Blackout Kick (Yellow),WTR090,Action,Attack,Ninja,1,3,Unlimited Edition Normal,,,2,3,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blackout-kick-yellow?Language=English
Blackout Kick (Red) Unlimited Edition Normal,30-1-blackout-kick-red-wtr089.jpg,"Combo - If Rising Knee Thrust was the last attack this combat chain, Blackout Kick gains +3 [Power].",Blackout Kick (Red),WTR089,Action,Attack,Ninja,1,3,Unlimited Edition Normal,,,1,4,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blackout-kick-red?Language=English
Bone Head Barrier Unlimited Edition Normal,36-1-bone-head-barrierwtr010.jpg,"Roll a 6 sided die. Prevent the next X damage that would be dealt to your hero this turn, where X is the number rolled.",Bone Head Barrier,WTR010,Instant,,Brute,1,,Unlimited Edition Normal,,,2,,Super Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bone-head-barrier?Language=English
Blessing of Deliverance (Red) Unlimited Edition Normal,33-1-blessing-of-deliverance-red-wtr054.jpg,"Go again <br />When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 Resource] or greater, draw a card. <br />At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 2 cards of your deck. Gain 1 [Life] for each card with cost [3 Resource] or greater revealed this way.",Blessing of Deliverance (Red),WTR054,Action,Aura,Guardian,2,3,Unlimited Edition Normal,,,1,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blessing-of-deliverance-red?Language=English
Blessing of Deliverance (Yellow) Unlimited Edition Normal,34-1-blessing-of-deliverance-yellow-wtr055.jpg,"Go again <br />When Blessing of Deliverance enters the arena, if you have a card in your pitch zone with cost [3 Resource] or greater, draw a card. <br />At the beginning of your action phase, destroy Blessing of Deliverance then reveal the top 3 cards of your deck. Gain 1 [Life] for each card with cost [3 Resource] or greater revealed this way.",Blessing of Deliverance (Yellow),WTR055,Action,Aura,Guardian,2,3,Unlimited Edition Normal,,,2,,Rare,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/blessing-of-deliverance-yellow?Language=English
Bloodrush Bellow ,35-1-bloodrush-bellowwtr007.jpg,"As an additional cost to play Bloodrush Bellow, discard a random card. <br />Your Brute attacks gain +2 [Power] this turn. <br />If the discarded card has 6 or more [Power], draw 2 cards and Bloodrush Bellow gains go again.",Bloodrush Bellow,WTR007,Action,,Brute,1,3,1st Edition,,,2,,Majestic,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bloodrush-bellow?Language=English
Bravo - 1st Edition // Dawnblade - 1st Edition,39-1-bravowtr039.jpg // 39-2-dawnbladewtr115.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Dawnblade <br />Once per Turn Action - [1 Resource]: Attack <br />If // Dawnblade <br />hits, and it's the second time it has hit this turn, put a +1 [Power] counter on // Dawnblade <br />. <br />At the beginning of your end phase, if // Dawnblade <br />did not hit this turn, remove all +1 [Power] counters from // Dawnblade <br />.",Bravo // Dawnblade,WTR039 // WTR115,Hero Weapon,Sword (2H);Young,Guardian Warrior,,,1st Edition,4,20,,3,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-dawnblade?Language=English
Braveforge Bracers Unlimited Edition Rainbow Foil,37-1-braveforge-bracerswtr116.jpg,"Once per Turn Action - [1 Resource]: Your next weapon attack this turn gains +1 [Power]. Activate this ability only if a weapon you control has hit this turn. Go again <br />Battleworn (If you defend with Braveforge Bracers, put a -1 [Defense] counter on it when the combat chain closes.)",Braveforge Bracers,WTR116,Equipment,Arms,Warrior,,2,Unlimited Edition Rainbow Foil,,,,,Legendary,Welcome to Rathe,false,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/braveforge-bracers?Language=English
Bravo - 1st Edition // Dorinthea - 1st Edition,40-1-bravowtr039.jpg // 40-2-dorintheawtr114.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Dorinthea <br />Once per Turn Effect - When your weapon attack hits, you may attack an additional time with that weapon this turn.",Bravo // Dorinthea,WTR039 // WTR114,Hero,Young,Guardian Warrior,,,1st Edition,4,20,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-dorinthea?Language=English
"Bravo - 1st Edition // Bravo, Showstopper - 1st Edition",38-1-bravowtr039.jpg // 38-2-bravo-showstopperwtr038.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Bravo, Showstopper <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.)","Bravo // Bravo, Showstopper",WTR039 // WTR038,Hero,Young,Guardian,,,1st Edition,4,20 // 40,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-bravo-showstopper?Language=English
Bravo - 1st Edition // Dorinthea Ironsong - 1st Edition,41-1-bravowtr039.jpg // 41-2-dorinthea-ironsongwtr113.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Dorinthea Ironsong <br />Once per Turn Effect - When your weapon attack hits, you may attack an additional time with that weapon this turn.",Bravo // Dorinthea Ironsong,WTR039 // WTR113,Hero,Young,Guardian Warrior,,,1st Edition,4,40,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-dorinthea-ironsong?Language=English
Bravo Unlimited Edition Normal // Katsu Unlimited Edition Normal,43-1-bravowtr039.jpg // 43-2-katsuwtr077.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Katsu <br />Once per Turn Effect - When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with combo, banish it face up, then shuffle your deck. You may play it this turn.",Bravo // Katsu,WTR039 // WTR077,Hero,Young,Guardian Ninja Warrior,,,Unlimited Edition Normal,4,20,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-katsu?Language=English
Bravo Unlimited Edition Normal // Harmonized Kodachi Unlimited Edition Normal,42-1-bravowtr039.jpg // 42-2-harmonized-kodachiwtr078.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Harmonized Kodachi <br />Once per Turn Action - [1 Resource]: Attack <br />If you have a card in your pitch zone with cost 0, // Harmonized Kodachi <br />gains go again.",Bravo // Harmonized Kodachi,WTR039 // WTR078,Hero Weapon,Dagger (1H);Young,Guardian Ninja Warrior,,,Unlimited Edition Normal,4,40,,3,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-harmonized-kodachi?Language=English
"Bravo - 1st Edition // Katsu, the Wanderer - 1st Edition",44-1-bravowtr039.jpg // 44-2-katsu-the-wandererwtr076.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Katsu, the Wanderer <br />Once per Turn Effect - When an attack action card you control hits, you may discard a card with cost 0. If you do, search your deck for a card with combo, banish it face up, then shuffle your deck. You may play it this turn.","Bravo // Katsu, the Wanderer",WTR039 // WTR076,Hero,Young,Guardian Ninja Warrior,,,1st Edition,4,20 // 40,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-katsu-the-wanderer?Language=English
Bravo - 1st Edition // Quicken - 1st Edition,45-1-bravowtr039.jpg // 45-2-quickenwtr225.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Quicken <br />(Aura's stay in the arena until they are destroyed.) <br />When you play an attack action card or attack with a weapon, destroy // Quicken <br />and the attack gains go again.",Bravo // Quicken,WTR039 // WTR225,Hero Token,Aura;Young,Generic Guardian,,,1st Edition,4,20,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-quicken?Language=English
Bravo Unlimited Edition Normal // Rhinar Unlimited Edition Normal,46-1-bravowtr039.jpg // 46-2-rhinarwtr002.jpg,"Bravo <br />Action - [2 Resource]: Until end of turn, your attack action cards with cost [3 Resource] or greater gain dominate. Go again (The defending hero can't defend the attack with more than 1 card from their hand.) // Rhinar <br />When you discard a card with 6 or more [Power] during your action phase, intimidate. (Target hero banishes face down a random card from their hand. At the beginning of the end phase, return all cards banished this way to their owners hand.)",Bravo // Rhinar,WTR039 // WTR002,Hero,Young,Brute Guardian,,,Unlimited Edition Normal,4,20,,,Token,Welcome to Rathe,true,https://shop.tcgplayer.com/flesh-and-blood-tcg/welcome-to-rathe/bravo-rhinar?Language=English
